Shipment_ID,Order_ID,Transport_Mode,Shipping_Cost,Ship_Date,Delivery_Date,Delivery_Status
SHP000001,O000001,Express Courier,79,2025-01-07,2025-01-10,On-Time
SHP000002,O000002,Air,106,2025-08-05,2025-08-06,On-Time
SHP000003,O000003,Express Courier,63,2025-08-31,2025-09-02,On-Time
SHP000004,O000004,Air,116,2023-10-25,2023-10-26,On-Time
SHP000005,O000005,Rail,18,2024-03-16,2024-03-23,Delayed
SHP000006,O000006,Road,21,2024-06-23,2024-06-30,On-Time
SHP000007,O000007,Standard Shipping,29,2024-06-18,2024-07-01,On-Time
SHP000008,O000008,Road,57,2023-09-22,2023-09-25,On-Time
SHP000009,O000009,Air,134,2023-10-21,2023-10-24,On-Time
SHP000010,O000010,Standard Shipping,23,2025-09-03,2025-09-17,On-Time
SHP000011,O000011,Standard Shipping,27,2023-06-12,2023-06-19,On-Time
SHP000012,O000012,Rail,37,2025-06-16,2025-06-25,On-Time
SHP000013,O000013,Rail,23,2023-12-12,2023-12-22,On-Time
SHP000014,O000014,Express Courier,88,2023-04-18,2023-04-22,On-Time
SHP000015,O000015,Road,32,2024-07-11,2024-07-14,On-Time
SHP000016,O000016,Rail,22,2023-02-12,2023-02-18,On-Time
SHP000017,O000017,Express Courier,79,2024-06-25,2024-06-28,On-Time
SHP000018,O000018,Standard Shipping,25,2024-07-12,2024-07-23,On-Time
SHP000019,O000019,Rail,35,2025-04-08,2025-04-16,Delayed
SHP000020,O000020,Express Courier,72,2024-12-12,2024-12-14,On-Time
SHP000021,O000021,Standard Shipping,15,2023-05-04,2023-05-11,On-Time
SHP000022,O000022,Rail,39,2025-11-26,2025-12-02,On-Time
SHP000023,O000023,Standard Shipping,11,2025-05-07,2025-05-19,On-Time
SHP000024,O000024,Air,115,2025-05-22,2025-05-23,On-Time
SHP000025,O000025,Air,111,2025-06-04,2025-06-05,On-Time
SHP000026,O000026,Road,30,2023-06-07,2023-06-12,On-Time
SHP000027,O000027,Standard Shipping,24,2025-08-05,2025-08-14,On-Time
SHP000028,O000028,Rail,17,2024-06-11,2024-06-16,On-Time
SHP000029,O000029,Road,24,2025-12-09,2025-12-15,On-Time
SHP000030,O000030,Road,25,2023-06-29,2023-07-05,On-Time
SHP000031,O000031,Standard Shipping,22,2023-10-17,2023-10-26,On-Time
SHP000032,O000032,Express Courier,43,2023-08-28,2023-08-31,On-Time
SHP000033,O000033,Road,48,2024-07-03,2024-07-07,On-Time
SHP000034,O000034,Road,30,2025-08-12,2025-08-16,On-Time
SHP000035,O000035,Express Courier,88,2025-06-09,2025-06-11,On-Time
SHP000036,O000036,Air,128,2023-09-20,2023-09-21,On-Time
SHP000037,O000037,Rail,24,2024-11-04,2024-11-10,On-Time
SHP000038,O000038,Standard Shipping,13,2023-06-15,2023-06-24,On-Time
SHP000039,O000039,Air,98,2024-01-07,2024-01-09,Delayed
SHP000040,O000040,Rail,16,2023-04-21,2023-04-27,On-Time
SHP000041,O000041,Express Courier,53,2024-07-01,2024-07-05,On-Time
SHP000042,O000042,Road,52,2025-03-27,2025-04-03,On-Time
SHP000043,O000043,Air,102,2024-12-01,2024-12-04,On-Time
SHP000044,O000044,Standard Shipping,21,2025-07-10,2025-07-23,On-Time
SHP000045,O000045,Road,48,2024-03-24,2024-03-29,On-Time
SHP000046,O000046,Express Courier,71,2024-10-06,2024-10-10,On-Time
SHP000047,O000047,Express Courier,83,2023-06-21,2023-06-24,On-Time
SHP000048,O000048,Rail,42,2025-03-11,2025-03-16,On-Time
SHP000049,O000049,Air,112,2023-03-24,2023-03-25,On-Time
SHP000050,O000050,Rail,21,2023-07-18,2023-07-27,On-Time
SHP000051,O000051,Air,102,2023-09-08,2023-09-11,On-Time
SHP000052,O000052,Road,50,2024-08-17,2024-08-24,On-Time
SHP000053,O000053,Express Courier,42,2024-09-23,2024-09-26,On-Time
SHP000054,O000054,Standard Shipping,29,2023-03-05,2023-03-15,On-Time
SHP000055,O000055,Express Courier,87,2025-01-04,2025-01-08,On-Time
SHP000056,O000056,Road,43,2023-10-04,2023-10-11,On-Time
SHP000057,O000057,Road,50,2025-08-03,2025-08-08,On-Time
SHP000058,O000058,Express Courier,43,2024-06-30,2024-07-02,On-Time
SHP000059,O000059,Road,50,2023-06-02,2023-06-06,On-Time
SHP000060,O000060,Express Courier,55,2025-05-25,2025-05-27,On-Time
SHP000061,O000061,Rail,27,2024-07-24,2024-08-03,On-Time
SHP000062,O000062,Standard Shipping,33,2023-01-07,2023-01-15,On-Time
SHP000063,O000063,Road,54,2023-11-07,2023-11-11,On-Time
SHP000064,O000064,Air,80,2024-07-14,2024-07-15,Delayed
SHP000065,O000065,Rail,15,2024-08-10,2024-08-18,Delayed
SHP000066,O000066,Standard Shipping,35,2024-06-09,2024-06-16,On-Time
SHP000067,O000067,Standard Shipping,16,2023-12-14,2023-12-22,On-Time
SHP000068,O000068,Express Courier,82,2025-06-12,2025-06-15,On-Time
SHP000069,O000069,Rail,36,2025-03-29,2025-04-07,On-Time
SHP000070,O000070,Rail,28,2024-04-22,2024-04-28,On-Time
