Forecast_Month,Product_ID,Product_Name,Category,Actual_Demand,Forecast_Demand,Deamand_Priorty,Forecast_Accuracy,Safety_Stock,Stock_Gap
Jan-25,P001,Laptop Pro X,Electronics,550,550,Very High,100.00%,110,0
Jan-25,P002,SmartPhone Elite,Electronics,400,432,High,92.00%,86,32
Jan-25,P003,Tab Ultra,Electronics,300,300,High,100.00%,60,0
Jan-25,P004,SmartWatch Active,Electronics,120,119,Low,99.00%,24,-1
Jan-25,P005,Vision Monitor,Electronics,180,198,Medium,90.00%,40,18
Jan-25,P006,CoolMax Refrigerator,Home Appliance,700,658,Very High,94.00%,132,-42
Jan-25,P007,HeatWave Microwave,Home Appliance,90,84,Low,93.00%,17,-6
Jan-25,P008,PureAir Purifier,Home Appliance,130,120,Low,92.00%,24,-10
Jan-25,P009,WashPro Machine,Home Appliance,450,441,Very High,98.00%,88,-9
Jan-25,P010,CkeanSweep Vacuum,Home Appliance,110,114,Low,96.00%,23,4
Jan-25,P011,Ergo Office Chair,Furniture,85,87,Low,98.00%,17,2
Jan-25,P012,Study Desk Plus,Furniture,120,125,Low,96.00%,25,5
Jan-25,P013,Oak Bookshelf,Furniture,70,67,Low,96.00%,13,-3
Jan-25,P014,File Cabinet Pro,Furniture,95,101,Low,94.00%,20,6
Jan-25,P015,Fkex Standing Desk,Furniture,180,164,Medium,91.00%,33,-16
Jan-25,P016,Laser Printer X,Office Supplies,150,158,Medium,95.00%,32,8
Jan-25,P017,Mechanical Keyboard,Office Supplies,40,38,Low,95.00%,8,-2
Jan-25,P018,Precision Mouse,Office Supplies,15,14,Low,93.00%,3,-1
Jan-25,P019,HD Webcam,Office Supplies,35,38,Low,91.00%,8,3
Jan-25,P020,Wireless Headset,Office Supplies,79,80,Low,99.00%,16,1
Jan-25,P021,GroomPro,Personal Care,25,23,Low,92.00%,5,-2
Jan-25,P022,Airstyle Dryser,Personal Care,35,35,Low,100.00%,7,0
Jan-25,P023,Smartbrush,Personal Care,20,19,Low,95.00%,4,-1
Jan-25,P024,Relax Massager,Personal Care,45,43,Low,96.00%,9,-2
Jan-25,P025,Care Grooming Kit,Personal Care,18,17,Low,94.00%,3,-1
Feb-25,P001,Laptop Pro X,Electronics,550,572,Very High,96.00%,114,22
Feb-25,P002,SmartPhone Elite,Electronics,400,372,High,93.00%,74,-28
Feb-25,P003,Tab Ultra,Electronics,300,312,High,96.00%,62,12
Feb-25,P004,SmartWatch Active,Electronics,120,132,Low,90.00%,26,12
Feb-25,P005,Vision Monitor,Electronics,180,189,Medium,95.00%,38,9
Feb-25,P006,CoolMax Refrigerator,Home Appliance,700,735,Very High,95.00%,147,35
Feb-25,P007,HeatWave Microwave,Home Appliance,90,99,Low,90.00%,20,9
Feb-25,P008,PureAir Purifier,Home Appliance,130,137,Low,95.00%,27,7
Feb-25,P009,WashPro Machine,Home Appliance,450,428,Very High,95.00%,86,-22
Feb-25,P010,CkeanSweep Vacuum,Home Appliance,110,117,Low,94.00%,23,7
Feb-25,P011,Ergo Office Chair,Furniture,85,77,Low,91.00%,15,-8
Feb-25,P012,Study Desk Plus,Furniture,120,124,Low,97.00%,25,4
Feb-25,P013,Oak Bookshelf,Furniture,70,76,Low,91.00%,15,6
Feb-25,P014,File Cabinet Pro,Furniture,95,93,Low,98.00%,19,-2
Feb-25,P015,Fkex Standing Desk,Furniture,180,187,Medium,96.00%,37,7
Feb-25,P016,Laser Printer X,Office Supplies,150,150,Medium,100.00%,30,0
Feb-25,P017,Mechanical Keyboard,Office Supplies,40,39,Low,98.00%,8,-1
Feb-25,P018,Precision Mouse,Office Supplies,15,16,Low,93.00%,3,1
Feb-25,P019,HD Webcam,Office Supplies,35,37,Low,94.00%,7,2
Feb-25,P020,Wireless Headset,Office Supplies,79,71,Low,90.00%,14,-8
Feb-25,P021,GroomPro,Personal Care,25,23,Low,92.00%,5,-2
Feb-25,P022,Airstyle Dryser,Personal Care,35,33,Low,94.00%,7,-2
Feb-25,P023,Smartbrush,Personal Care,20,18,Low,90.00%,4,-2
Feb-25,P024,Relax Massager,Personal Care,45,49,Low,91.00%,10,4
Feb-25,P025,Care Grooming Kit,Personal Care,18,17,Low,94.00%,3,-1
Mar-25,P001,Laptop Pro X,Electronics,550,572,Very High,96.00%,114,22
Mar-25,P002,SmartPhone Elite,Electronics,400,424,High,94.00%,85,24
Mar-25,P003,Tab Ultra,Electronics,300,273,High,91.00%,55,-27
Mar-25,P004,SmartWatch Active,Electronics,120,130,Low,92.00%,26,10
Mar-25,P005,Vision Monitor,Electronics,180,193,Medium,93.00%,39,13
Mar-25,P006,CoolMax Refrigerator,Home Appliance,700,742,Very High,94.00%,148,42
Mar-25,P007,HeatWave Microwave,Home Appliance,90,97,Low,92.00%,19,7
Mar-25,P008,PureAir Purifier,Home Appliance,130,125,Low,96.00%,25,-5
Mar-25,P009,WashPro Machine,Home Appliance,450,441,Very High,98.00%,88,-9
Mar-25,P010,CkeanSweep Vacuum,Home Appliance,110,106,Low,96.00%,21,-4
Mar-25,P011,Ergo Office Chair,Furniture,85,90,Low,94.00%,18,5
Mar-25,P012,Study Desk Plus,Furniture,120,108,Low,90.00%,22,-12
Mar-25,P013,Oak Bookshelf,Furniture,70,69,Low,99.00%,14,-1
Mar-25,P014,File Cabinet Pro,Furniture,95,88,Low,93.00%,18,-7
