Order_ID,Order_Date,Product_ID,Supplier_ID,Warehouse_ID,Region_ID,Quantity,Revenue,Fulfillment_Status
O000001,2025-01-05,P007,S009,W002,R005,6,1074,Fulfilled
O000002,2025-08-05,P008,S004,W004,R002,4,996,Fulfilled
O000003,2025-08-31,P010,S008,W001,R003,2,458,Fulfilled
O000004,2023-10-24,P022,S006,W002,R004,1,79,Fulfilled
O000005,2024-03-15,P004,S005,W005,R004,2,498,Fulfilled
O000006,2024-06-22,P001,S005,W004,R005,2,1778,Fulfilled
O000007,2024-06-16,P009,S007,W001,R005,1,799,Fulfilled
O000008,2023-09-20,P016,S005,W001,R001,2,598,Fulfilled
O000009,2023-10-20,P014,S009,W001,R005,1,189,Delayed
O000010,2025-09-01,P003,S002,W004,R001,5,2745,Fulfilled
O000011,2023-06-11,P023,S006,W004,R004,2,98,Fulfilled
O000012,2025-06-15,P005,S003,W002,R005,3,987,Fulfilled
O000013,2023-12-11,P002,S008,W003,R003,7,4893,Fulfilled
O000014,2023-04-17,P014,S007,W004,R001,4,756,Fulfilled
O000015,2024-07-11,P014,S004,W002,R005,1,189,Fulfilled
O000016,2023-02-10,P002,S006,W003,R005,4,2796,Fulfilled
O000017,2024-06-24,P010,S006,W003,R002,5,1145,Fulfilled
O000018,2024-07-12,P005,S004,W002,R004,3,987,Fulfilled
O000019,2025-04-06,P012,S005,W002,R002,5,1245,Fulfilled
O000020,2024-12-12,P018,S005,W005,R003,4,156,Fulfilled
O000021,2023-05-04,P013,S004,W005,R005,5,695,Fulfilled
O000022,2025-11-26,P012,S004,W005,R002,2,498,Fulfilled
O000023,2025-05-06,P018,S003,W001,R003,3,117,Fulfilled
O000024,2025-05-20,P003,S010,W002,R005,2,1098,Fulfilled
O000025,2025-06-03,P017,S004,W005,R005,2,178,Fulfilled
O000026,2023-06-07,P001,S009,W004,R002,2,1778,Fulfilled
O000027,2025-08-03,P002,S006,W002,R002,2,1398,Fulfilled
O000028,2024-06-11,P023,S005,W005,R003,1,49,Fulfilled
O000029,2025-12-07,P016,S006,W001,R003,3,897,Fulfilled
O000030,2023-06-27,P003,S008,W001,R005,9,4941,Fulfilled
O000031,2023-10-17,P003,S005,W004,R004,2,1098,Fulfilled
O000032,2023-08-27,P009,S003,W005,R004,3,2397,Fulfilled
O000033,2024-07-01,P013,S004,W001,R005,5,695,Fulfilled
O000034,2025-08-10,P003,S009,W004,R001,1,549,Pending
O000035,2025-06-08,P021,S010,W001,R003,3,177,Delayed
O000036,2023-09-18,P020,S004,W002,R005,3,357,Fulfilled
O000037,2024-11-02,P023,S001,W005,R004,3,147,Fulfilled
O000038,2023-06-14,P021,S007,W001,R003,3,177,Fulfilled
O000039,2024-01-07,P005,S003,W003,R003,1,329,Fulfilled
O000040,2023-04-20,P002,S009,W001,R005,3,2097,Fulfilled
O000041,2024-06-29,P023,S002,W002,R004,2,98,Fulfilled
O000042,2025-03-26,P012,S001,W004,R002,2,498,Delayed
O000043,2024-11-30,P024,S007,W005,R001,3,297,Fulfilled
O000044,2025-07-08,P002,S005,W004,R001,2,1398,Fulfilled
O000045,2024-03-23,P017,S002,W005,R004,4,356,Fulfilled
O000046,2024-10-05,P015,S010,W005,R001,1,349,Fulfilled
O000047,2023-06-20,P005,S009,W001,R001,7,2303,Fulfilled
O000048,2025-03-09,P016,S004,W001,R004,4,1196,Fulfilled
O000049,2023-03-23,P017,S004,W005,R002,3,267,Fulfilled
O000050,2023-07-17,P001,S005,W005,R001,1,889,Fulfilled
O000051,2023-09-06,P017,S003,W003,R005,6,534,Fulfilled
O000052,2024-08-16,P018,S009,W002,R003,2,78,Fulfilled
O000053,2024-09-22,P010,S004,W002,R001,6,1374,Pending
O000054,2023-03-04,P015,S010,W002,R002,2,698,Fulfilled
O000055,2025-01-04,P002,S006,W004,R001,1,699,Fulfilled
O000056,2023-10-04,P001,S008,W004,R005,4,3556,Fulfilled
O000057,2025-08-03,P007,S005,W003,R001,2,358,Fulfilled
O000058,2024-06-28,P018,S007,W005,R003,3,117,Fulfilled
O000059,2023-05-31,P009,S006,W005,R001,1,799,Fulfilled
O000060,2025-05-23,P025,S002,W001,R002,2,78,Fulfilled
O000061,2024-07-22,P013,S003,W003,R001,3,417,Fulfilled
O000062,2023-01-06,P011,S006,W003,R004,5,845,Delayed
O000063,2023-11-05,P009,S004,W001,R003,2,1598,Fulfilled
O000064,2024-07-12,P021,S007,W001,R003,5,295,Fulfilled
O000065,2024-08-10,P002,S009,W003,R002,4,2796,Fulfilled
O000066,2024-06-09,P010,S006,W004,R002,2,458,Fulfilled
O000067,2023-12-13,P018,S006,W003,R001,6,234,Pending
O000068,2025-06-10,P007,S009,W002,R001,4,716,Fulfilled
O000069,2025-03-28,P020,S002,W004,R005,2,238,Fulfilled
O000070,2024-04-22,P021,S008,W001,R004,5,295,Fulfilled
O000071,2024-03-24,P007,S010,W005,R005,1,179,Fulfilled
O000072,2023-04-25,P018,S006,W001,R005,3,117,Fulfilled
O000073,2024-09-13,P015,S001,W003,R005,3,1047,Fulfilled
O000074,2025-04-22,P021,S001,W002,R001,1,59,Delayed
O000075,2025-05-05,P007,S006,W003,R005,3,537,Fulfilled
O000076,2025-03-07,P013,S004,W003,R003,5,695,Fulfilled
O000077,2025-03-20,P018,S006,W003,R001,3,117,Fulfilled
O000078,2023-04-18,P015,S009,W002,R003,2,698,Fulfilled
O000079,2025-06-30,P012,S009,W002,R002,7,1743,Fulfilled
O000080,2024-06-18,P013,S009,W005,R003,7,973,Fulfilled
O000081,2025-01-08,P013,S005,W002,R004,3,417,Fulfilled
O000082,2023-01-02,P006,S006,W003,R001,4,4796,Pending
O000083,2023-12-13,P018,S009,W005,R002,1,39,Fulfilled
O000084,2023-03-20,P003,S008,W005,R005,2,1098,Fulfilled
O000085,2024-10-02,P025,S009,W004,R005,3,117,Fulfilled
O000086,2024-07-18,P022,S007,W002,R001,3,237,Fulfilled
O000087,2023-08-01,P001,S010,W004,R003,4,3556,Fulfilled
O000088,2025-04-13,P004,S005,W002,R003,8,1992,Fulfilled
O000089,2025-06-26,P002,S008,W004,R005,1,699,Delayed
O000090,2023-09-18,P017,S010,W003,R005,2,178,Fulfilled
O000091,2025-04-24,P006,S008,W001,R001,1,1199,Fulfilled
O000092,2024-10-18,P016,S007,W002,R005,3,897,Fulfilled
O000093,2024-10-20,P019,S004,W004,R001,3,237,Fulfilled
O000094,2023-05-25,P015,S009,W005,R002,2,698,Fulfilled
O000095,2025-02-15,P004,S009,W005,R005,2,498,Fulfilled
O000096,2023-07-23,P014,S010,W001,R002,5,945,Fulfilled
O000097,2024-05-19,P023,S001,W003,R002,4,196,Fulfilled
O000098,2023-01-04,P008,S008,W004,R001,3,747,Fulfilled
O000099,2024-06-16,P008,S003,W005,R001,2,498,Fulfilled
O000100,2025-04-20,P001,S005,W001,R003,6,5334,Fulfilled
O000101,2023-08-28,P017,S002,W005,R004,2,178,Fulfilled
O000102,2025-08-02,P011,S009,W004,R004,5,845,Fulfilled
O000103,2023-12-23,P010,S009,W004,R001,3,687,Fulfilled
O000104,2025-03-05,P012,S008,W005,R004,1,249,Fulfilled
O000105,2023-08-22,P012,S002,W005,R003,6,1494,Fulfilled
O000106,2023-03-05,P025,S003,W002,R005,1,39,Fulfilled
O000107,2024-07-25,P002,S003,W001,R003,2,1398,Fulfilled
O000108,2024-07-09,P007,S008,W001,R001,3,537,Fulfilled
O000109,2024-03-03,P009,S001,W002,R003,4,3196,Fulfilled
O000110,2023-02-17,P010,S004,W002,R002,3,687,Fulfilled
O000111,2023-02-24,P002,S008,W004,R001,7,4893,Fulfilled
O000112,2023-05-20,P018,S008,W003,R001,3,117,Fulfilled
O000113,2025-12-07,P005,S010,W005,R005,9,2961,Fulfilled
O000114,2023-05-07,P002,S009,W002,R005,2,1398,Fulfilled
O000115,2025-08-15,P003,S004,W003,R005,3,1647,Fulfilled
O000116,2025-12-31,P022,S008,W001,R001,4,316,Fulfilled
O000117,2023-10-26,P024,S005,W004,R005,3,297,Fulfilled
O000118,2024-09-07,P003,S010,W002,R005,1,549,Fulfilled
O000119,2023-11-24,P012,S002,W003,R002,2,498,Fulfilled
O000120,2023-10-30,P017,S001,W004,R001,2,178,Fulfilled
O000121,2025-12-13,P023,S010,W001,R002,4,196,Fulfilled
O000122,2025-05-10,P007,S007,W002,R001,1,179,Fulfilled
O000123,2025-02-20,P025,S005,W003,R003,8,312,Fulfilled
O000124,2024-07-26,P006,S005,W004,R005,5,5995,Fulfilled
O000125,2023-03-26,P014,S005,W001,R004,5,945,Fulfilled
O000126,2024-05-29,P017,S004,W004,R002,3,267,Fulfilled
O000127,2025-06-26,P005,S001,W004,R004,7,2303,Fulfilled
O000128,2023-06-17,P019,S008,W003,R005,2,158,Fulfilled
O000129,2023-07-18,P019,S007,W002,R003,2,158,Fulfilled
O000130,2024-11-04,P017,S004,W004,R005,1,89,Fulfilled
O000131,2023-12-29,P017,S006,W003,R005,2,178,Fulfilled
O000132,2025-07-27,P020,S007,W003,R002,1,119,Fulfilled
O000133,2024-03-01,P022,S007,W003,R001,7,553,Fulfilled
O000134,2023-01-11,P003,S010,W001,R005,5,2745,Fulfilled
O000135,2024-09-19,P018,S006,W003,R005,5,195,Fulfilled
O000136,2023-04-05,P013,S008,W004,R003,4,556,Fulfilled
O000137,2024-03-08,P019,S001,W001,R001,1,79,Fulfilled
O000138,2023-04-16,P007,S007,W004,R002,3,537,Fulfilled
O000139,2025-08-29,P005,S001,W001,R002,3,987,Fulfilled
O000140,2023-07-24,P016,S004,W002,R005,9,2691,Fulfilled
O000141,2023-06-28,P014,S005,W005,R002,3,567,Fulfilled
O000142,2025-07-26,P014,S007,W005,R004,4,756,Fulfilled
O000143,2024-04-05,P010,S009,W001,R001,5,1145,Fulfilled
O000144,2024-02-27,P017,S001,W004,R003,2,178,Fulfilled
O000145,2025-11-25,P019,S006,W002,R002,4,316,Fulfilled
O000146,2025-02-05,P001,S009,W002,R003,2,1778,Fulfilled
O000147,2025-09-10,P025,S007,W002,R004,3,117,Fulfilled
O000148,2025-09-16,P020,S006,W003,R002,3,357,Fulfilled
O000149,2025-07-23,P025,S001,W002,R002,2,78,Fulfilled
O000150,2023-01-20,P008,S002,W004,R001,3,747,Fulfilled
O000151,2023-11-09,P023,S002,W005,R003,6,294,Fulfilled
O000152,2024-10-07,P024,S001,W003,R001,4,396,Fulfilled
O000153,2023-09-06,P007,S006,W005,R001,1,179,Fulfilled
O000154,2024-01-18,P010,S005,W003,R005,2,458,Fulfilled
O000155,2025-05-03,P023,S010,W004,R001,5,245,Fulfilled
O000156,2023-09-04,P001,S001,W003,R004,2,1778,Fulfilled
O000157,2023-07-11,P005,S007,W002,R004,4,1316,Fulfilled
O000158,2023-01-05,P002,S007,W005,R003,1,699,Fulfilled
O000159,2024-08-25,P022,S003,W001,R004,3,237,Delayed
O000160,2025-02-17,P014,S008,W002,R004,4,756,Delayed
O000161,2025-09-05,P020,S002,W001,R001,2,238,Fulfilled
O000162,2025-04-22,P013,S001,W003,R001,3,417,Fulfilled
O000163,2025-12-23,P010,S010,W001,R002,6,1374,Delayed
O000164,2024-03-25,P025,S003,W004,R002,2,78,Fulfilled
O000165,2023-11-26,P012,S010,W002,R001,2,498,Fulfilled
O000166,2025-11-13,P007,S006,W001,R001,5,895,Fulfilled
O000167,2025-01-27,P005,S005,W005,R003,3,987,Fulfilled
O000168,2023-04-23,P012,S001,W003,R005,2,498,Fulfilled
O000169,2023-12-12,P014,S006,W005,R001,2,378,Fulfilled
O000170,2024-06-05,P022,S010,W004,R005,2,158,Fulfilled
O000171,2024-06-05,P003,S008,W001,R005,3,1647,Fulfilled
O000172,2024-10-17,P014,S009,W005,R002,1,189,Fulfilled
O000173,2024-05-07,P024,S009,W005,R003,5,495,Fulfilled
O000174,2023-10-17,P023,S001,W005,R005,4,196,Fulfilled
O000175,2024-01-19,P014,S005,W003,R005,3,567,Fulfilled
O000176,2025-03-25,P016,S008,W003,R003,2,598,Fulfilled
O000177,2023-06-06,P021,S001,W002,R001,5,295,Fulfilled
O000178,2024-02-29,P002,S001,W001,R003,4,2796,Fulfilled
O000179,2025-05-25,P023,S009,W004,R004,1,49,Fulfilled
O000180,2024-04-16,P012,S007,W004,R001,3,747,Fulfilled
O000181,2023-02-23,P023,S010,W004,R002,6,294,Fulfilled
O000182,2023-01-23,P020,S003,W004,R005,5,595,Fulfilled
O000183,2024-11-21,P021,S004,W004,R004,8,472,Fulfilled
O000184,2025-10-16,P012,S007,W001,R004,2,498,Fulfilled
O000185,2024-07-28,P004,S003,W002,R001,1,249,Fulfilled
O000186,2023-10-21,P016,S003,W005,R005,3,897,Fulfilled
O000187,2023-12-01,P012,S006,W002,R001,3,747,Fulfilled
O000188,2025-03-09,P015,S009,W005,R005,5,1745,Fulfilled
O000189,2024-07-07,P006,S007,W003,R002,2,2398,Fulfilled
O000190,2023-07-14,P015,S004,W004,R005,2,698,Fulfilled
O000191,2023-11-05,P003,S001,W004,R003,8,4392,Fulfilled
O000192,2024-12-31,P024,S005,W005,R003,5,495,Fulfilled
O000193,2024-09-20,P010,S006,W001,R005,8,1832,Fulfilled
O000194,2025-11-04,P025,S010,W002,R003,4,156,Fulfilled
O000195,2023-06-12,P004,S003,W005,R001,2,498,Fulfilled
O000196,2025-09-08,P024,S005,W001,R003,2,198,Fulfilled
O000197,2023-09-04,P024,S008,W005,R005,5,495,Fulfilled
O000198,2023-11-14,P011,S008,W003,R005,3,507,Fulfilled
O000199,2024-02-04,P008,S004,W003,R002,1,249,Fulfilled
O000200,2023-05-15,P022,S007,W004,R001,2,158,Delayed
O000201,2023-12-25,P011,S002,W004,R004,3,507,Fulfilled
O000202,2024-03-14,P023,S003,W005,R001,1,49,Fulfilled
O000203,2025-07-04,P020,S007,W003,R004,1,119,Fulfilled
O000204,2023-06-01,P023,S010,W003,R002,3,147,Fulfilled
O000205,2023-02-21,P005,S007,W002,R001,4,1316,Fulfilled
O000206,2023-11-10,P019,S007,W005,R005,6,474,Fulfilled
O000207,2025-06-04,P002,S002,W002,R003,5,3495,Fulfilled
O000208,2025-12-19,P014,S009,W004,R005,2,378,Fulfilled
O000209,2025-11-16,P011,S006,W003,R004,3,507,Fulfilled
O000210,2024-04-27,P009,S003,W002,R004,3,2397,Fulfilled
O000211,2024-09-06,P023,S003,W003,R003,6,294,Fulfilled
O000212,2023-05-02,P010,S003,W001,R004,2,458,Fulfilled
O000213,2025-06-28,P006,S006,W002,R003,7,8393,Fulfilled
O000214,2023-09-10,P006,S004,W003,R005,2,2398,Fulfilled
O000215,2024-07-31,P022,S001,W002,R003,4,316,Fulfilled
O000216,2024-02-01,P010,S007,W004,R004,1,229,Fulfilled
O000217,2025-07-02,P018,S003,W003,R005,1,39,Fulfilled
O000218,2024-06-21,P025,S010,W001,R002,1,39,Fulfilled
O000219,2023-01-05,P001,S004,W003,R005,1,889,Delayed
O000220,2023-04-16,P024,S002,W005,R001,2,198,Fulfilled
O000221,2024-09-11,P018,S002,W002,R001,7,273,Pending
O000222,2025-10-02,P015,S005,W001,R005,3,1047,Delayed
O000223,2023-02-28,P002,S002,W001,R004,6,4194,Pending
O000224,2025-06-03,P018,S006,W001,R002,3,117,Fulfilled
O000225,2025-11-25,P015,S003,W003,R001,4,1396,Fulfilled
O000226,2025-05-03,P020,S004,W005,R002,1,119,Fulfilled
O000227,2024-01-15,P004,S006,W001,R003,5,1245,Fulfilled
O000228,2023-08-16,P011,S007,W004,R002,6,1014,Fulfilled
